,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,21.99999999999999,15.0,22.00000000000001,16.0,16.0,16.0,16.0,17.0,15.0,20.0,16.0,17.0,17.0,15.0,15.0,17.0,18.0,16.0,16.0,17.0,17.0,17.0,15.0,17.0,15.0,19.0,20.0,15.0,18.0,19.0,15.0,16.0,15.0,15.0,15.0,15.0,17.0,17.0,20.0,16.0,20.0,18.0,18.0,19.0,22.0,18.0,22.0,15.0,16.0,20.0,20.0,22.0,15.0,15.0
1,21.99999999999999,16.0,22.00000000000001,16.0,15.0,16.0,15.0,16.0,21.0,20.0,15.0,19.0,17.0,15.0,15.0,15.0,19.0,15.0,18.0,15.0,16.0,16.0,17.0,17.0,17.0,16.0,15.0,15.0,17.0,16.0,15.0,15.0,15.0,18.0,15.0,17.0,20.0,22.0,16.0,17.0,18.0,17.0,18.0,21.0,18.0,21.0,22.0,18.0,21.0,20.0,18.0,22.0,20.0,15.0
2,21.99999999999999,16.0,22.00000000000001,17.0,16.0,16.0,15.0,19.0,16.0,20.0,19.0,19.0,15.0,17.0,18.0,15.0,17.0,15.0,16.0,19.0,16.0,15.0,16.0,19.0,16.0,18.0,21.0,17.0,15.0,17.0,18.0,15.0,17.0,16.0,17.0,18.0,20.0,21.0,18.0,22.0,17.0,21.0,22.0,20.0,22.0,19.0,16.0,19.0,15.0,19.0,15.0,22.00000000000004,18.0,15.0
3,21.99999999999999,19.0,22.00000000000001,19.0,20.0,16.0,16.0,17.0,16.0,17.0,16.0,16.0,15.0,16.0,17.0,15.0,19.0,15.0,15.0,19.0,16.0,16.0,15.0,17.0,15.0,15.0,20.0,18.0,16.0,16.0,15.0,15.0,19.0,15.0,15.0,18.0,17.0,18.0,16.0,18.0,22.0,19.0,21.0,16.0,18.0,16.0,17.0,18.0,20.0,20.0,19.0,22.00000000000004,19.0,15.0
4,21.99999999999999,19.0,22.00000000000001,15.0,16.0,15.0,18.0,19.0,15.0,15.0,20.0,18.0,16.0,15.0,15.0,16.0,20.0,15.0,19.0,15.0,17.0,15.0,19.0,15.0,19.0,15.0,15.0,15.0,17.0,18.0,15.0,17.0,18.0,15.0,16.0,15.0,19.0,17.0,22.0,20.0,15.0,17.0,16.0,15.0,17.0,16.0,22.0,18.0,18.0,19.0,15.0,22.0,20.0,15.0
5,21.99999999999999,15.0,22.00000000000001,16.0,20.0,19.0,18.0,17.0,18.0,20.0,18.0,16.0,15.0,15.0,18.0,18.0,16.0,17.0,15.0,17.0,16.0,18.0,17.0,17.0,15.0,17.0,15.0,16.0,17.0,17.0,18.0,15.0,17.0,20.0,21.0,16.0,17.0,15.0,18.0,21.0,17.0,19.0,21.0,16.0,16.0,20.0,18.0,16.0,15.0,21.0,15.0,18.0,22.0,15.0
6,21.99999999999999,16.0,22.00000000000001,17.0,16.0,15.0,19.0,15.0,20.0,15.0,16.0,18.0,18.0,17.0,16.0,15.0,19.0,18.0,20.0,16.0,17.0,17.0,15.0,17.0,16.0,19.0,15.0,17.0,16.0,15.0,16.0,19.0,15.0,19.0,16.0,15.0,17.0,18.0,19.0,15.0,22.0,19.0,18.0,22.0,15.0,15.0,19.0,22.0,16.0,18.0,20.0,22.0,17.0,15.0
7,21.99999999999999,17.0,22.00000000000001,16.0,18.0,16.0,16.0,19.0,19.0,15.0,17.0,16.0,19.0,19.0,15.0,20.0,16.0,20.0,16.0,16.0,17.0,15.0,15.0,15.0,15.0,17.0,16.0,15.0,15.0,16.0,15.0,20.0,15.0,15.0,18.0,22.0,15.0,22.0,16.0,18.0,21.0,17.0,19.0,20.0,21.0,21.0,22.0,20.0,20.0,19.0,17.0,22.0,19.0,15.0
8,21.99999999999999,16.0,22.00000000000001,20.0,18.0,18.0,20.0,19.0,15.0,16.0,15.0,15.0,18.0,15.0,15.0,15.0,17.0,15.0,20.0,21.0,15.0,15.0,15.0,16.0,18.0,15.0,18.0,20.0,16.0,15.0,17.0,15.0,17.0,15.0,15.0,15.0,17.0,20.0,18.0,22.0,19.0,16.0,20.0,19.0,22.0,20.0,19.0,22.0,22.0,19.0,19.0,16.0,20.0,15.0
9,21.99999999999999,16.0,22.00000000000001,16.0,18.0,16.0,19.0,15.0,15.0,17.0,17.0,21.0,16.0,15.0,16.0,15.0,20.0,17.0,16.0,21.0,17.0,21.0,18.0,15.0,19.0,15.0,15.0,16.0,16.0,16.0,17.0,15.0,15.0,16.0,20.0,18.0,22.0,20.0,21.0,16.0,16.0,17.0,21.0,19.0,22.0,18.0,15.0,22.0,19.0,20.0,19.0,22.0,18.0,15.0
